college_name,college_type,college_estd,college_rating,college_img_url,college_location,college_contactNumber
"Siddhant Institute of Business Management - [SIBM] Sudumbare, Pune",Private,Estd 2005,nothing,https://images.collegedunia.com/public/college_data/images/appImage/18814_SIBM_APP.jpg?w=1286&h=193&mode=stretch,"Chakan Talegaon Road , Sudumbare 
 Pune - 412109 
 Maharashtra ,    India","020-65100360  ,    65100392"
"Mahatma Phule Institute of Management and Computer Studies, Pune",Private,Estd 1990,8.4,https://images.collegedunia.com/public/college_data/images/appImage/45293_PDEA_NEW.jpg?w=1286&h=193&mode=stretch,"Manjari Road 
 Pune - 411028 
 Maharashtra ,    India",020-26993020
"Unique Institute of Management - [UIM], Pune",Private Institute,Estd 2003,7.1,https://images.collegedunia.com/public/college_data/images/appImage/_Unique-Institute-of-Management.jpg?w=1286&h=193&mode=stretch,"S. No. 36/3c Katraj- Kondhwa Road, Katraj 
 Pune - 411046 
 Maharashtra ,    India",8888860724
"Trinity Institute of Management and Research - [TIMR], Pune",Private,Estd 2008,8.4,https://images.collegedunia.com/public/college_data/images/appImage/1598252831Cover.jpeg?w=1286&h=193&mode=stretch,"S.No. 25 & 27, A/P, Saswad - Bopdev - Pune Rd, Next to Yewale Wadi, Kondhwa Budruk 
 Pune - 411048 
 Maharashtra ,    India","9822566915  ,    9322348412  ,    Admission -  9867043843"
"Anekant Institute of Management Studies - [AIMS], Pune",Private,Estd 2011,nothing,https://images.collegedunia.com/public/college_data/images/appImage/1500615262anekantcvr.jpg?w=1286&h=193&mode=stretch,"T.C. College Road, Anekant Education Society Campus, Baramati, 
 Pune - 413102 
 Maharashtra ,    India",02112-227299
"SAMVIT School of Infrastructure Business, Pune",Private Institute,Estd 2011,nothing,https://images.collegedunia.com/public/college_data/images/appImage/18674_SANVIT_NEW.jpg?w=1286&h=193&mode=stretch,"24/4, Opp. Patel Tiles, Shivaji Nagar, Further down Hotel Pride, Behind Shivaji Nagar Bus Stand, Pune 
 Pune - 411005 
 Maharashtra ,    India","020-65602226  ,    65602229"
"Swaraj College of Commerce and Computer Studies & Swaraj School of Management, Pune",Private,Estd 2008,nothing,https://images.collegedunia.com/public/college_data/images/appImage/24505_swaraj_new.jpg?w=1286&h=193&mode=stretch,"Sr.No.3, Krishnmai Society, Taljai Pathar 
 Pune - 411043 
 Maharashtra ,    India",8928266335
"Rajiv Gandhi Business School - [RGBS] Tathawade, Pune",Private,Estd 2009,6.8,https://images.collegedunia.com/public/college_data/images/appImage/57293_52.jpg?w=1286&h=193&mode=stretch,"Survey No. 31, Near Dange Chowk, Ravet Road, Tathawade 
 Pune - 411033 
 Maharashtra ,    India",020-69001901
"KJ College of Engineering & Management Research - [KJCOEMR], Pune",Private,Estd 2009,7.7,https://images.collegedunia.com/public/college_data/images/appImage/28556_kj_new.jpg?w=1286&h=193&mode=stretch,"Kondhwa-Saswad Road, Near Bopdeo Ghat 
 Pune - 411048 
 Maharashtra ,    India",020-26934419
"Pimpri Chinchwad College of Engineering and Research - [PCCOER] Ravet, Pune",Private,Estd 2014,7.8,https://images.collegedunia.com/public/college_data/images/appImage/1492579418ccaaaaaaaaaaaaaaaaaaaaaaaaaa.jpg?w=1286&h=193&mode=stretch,"Plot No. B, Sector no. 110, Gate no.1, Laxminagar, Ravet, Haveli 
 Pune - 412101 
 Maharashtra ,    India",020-69338080
"GH Raisoni Institute of Management and Research -[GHRIMR], Pune",Private,Estd 2007,7.2,https://images.collegedunia.com/public/college_data/images/appImage/17626_GHRIMR_APP.jpg?w=1286&h=193&mode=stretch,"Domkhel Road, Wagholi 
 Pune - 411013 
 Maharashtra ,    India","9890849127  ,    8177998581  ,    9767859136"
"Global Business School and Research Centre - [GBSRC], Pune",NAAC,"DPU, Pune",8.4,https://images.collegedunia.com/public/college_data/images/appImage/17678_GBSRC_NEW.jpg?w=1286&h=193&mode=stretch,"Mumbai-Bangalore Highway, Tathawade, 
 Pune - 411033 
 Maharashtra ,    India",020-67919400
"Sharadchandra Pawar Institute of Management - [SPIOM], Pune",Private,Estd 1990,nothing,https://images.collegedunia.com/public/college_data/images/appImage/18746_SIPM_NEW.jpg?w=1286&h=193&mode=stretch,"Dumberwadi, Post. Khamundi, Tal. Junner 
 Pune - 412409 
 Maharashtra ,    India",0213-2265736
"Sinhgad Institute of Business Administration and Research - [SIBAR] Kondhwa, Pune",Private Institute,Estd 2004,7.8,https://images.collegedunia.com/public/college_data/images/appImage/15845296440.jpg?w=1286&h=193&mode=stretch,"Kondhwa-Saswad Road, Near- PMC Octroi center, Kondhwa (bk) 
 Pune - 411048 
 Maharashtra ,    India","020-26933633  ,    26933635  ,    26906118  ,    26934443"
"Camp Education Society's Rasiklal M. Dhariwal  Institute of Management - [CES], Pune",Private,Estd 2001,6.3,https://images.collegedunia.com/public/college_data/images/appImage/1500550697cvr.png?w=1286&h=193&mode=stretch,"Sector No.27/A, Akrudi Sector, Near Bhel Chowk Camp Education Society, Sector 27A, Pradhikaran, Nigdi, Pimpri-Chinchwad 
 Pune - 411044 
 Maharashtra ,    India",020-64109481
"Jayawantrao Sawant Institute of Management & Research - [JSIMR], Pune",Private,Estd 2007,nothing,https://images.collegedunia.com/public/college_data/images/appImage/1502967248cover.jpg?w=1286&h=193&mode=stretch,"Next to JSPM’s Girls Hostel, S.No – 58, Indrayani Nagar, Handewadi Road, Hadapsar 
 Pune - 411028 
 Maharashtra ,    India",020-26970882
"Dr. D. Y. Patil Institute of Management and Entrepreneur Development, Pune",Private,Estd 2014,nothing,https://images.collegedunia.com/public/college_data/images/appImage/150097847514932663951492601792cccccccccccccccccccccccccc.png?w=1286&h=193&mode=stretch,"Near Talegaon Railway Station, Towards Eco City, Varale 
 Pune - 410507 
 Maharashtra ,    India","0211-4667915  ,    4667926"
"Vidya Pratishthan's Institute of Information Technology - [VIIT], Pune",Private,Estd 2000,8.3,https://images.collegedunia.com/public/college_data/images/appImage/19166_information_new.jpg?w=1286&h=193&mode=stretch,"Vidyanagari, Bhigwan Road, Baramati 
 Pune - 413133 
 Maharashtra ,    India","02112-239551  ,    2239552"
"Smt Kashibai Navale College of Pharmacy - [SKNCOP] Kondhwa, Pune",Private,Estd 2005,8.4,https://images.collegedunia.com/public/college_data/images/appImage/10022_SCOPM_APP.jpg?w=1286&h=193&mode=stretch,"S. No. 40/4 A, Kondhwa Saswad Road 
 Pune - 411004 
 Maharashtra ,    India",0202-5431001
"Symbiosis Institute of Health Sciences - [SIHS], Pune",Private,Estd 2006,6.6,https://images.collegedunia.com/public/college_data/images/appImage/11096_SIHM_APP.jpg?w=1286&h=193&mode=stretch,"Senapati Bapat Road, 
 Pune - 411004 
 Maharashtra ,    India","020-25658015  ,    25658012  ,    25658016"
"Bhivarabai Sawant Institute of Technolgy and Research - [BSITOR] Wagholi, Pune",Private,Estd 2009,7.0,https://images.collegedunia.com/public/college_data/images/appImage/13075_BIVARABA_APP.jpg?w=1286&h=193&mode=stretch,"Gat No. 720/2, Nagar Road, Wagholi 
 Pune - 412207 
 Maharashtra ,    India","020-65109172  ,    27021171"
"GH Raisoni Institute of Engineering and Technology - [GHRIET] Wagholi, Pune",Private,Estd 2007,7.5,https://images.collegedunia.com/public/college_data/images/appImage/13496_GHRIET_NEW.jpg?w=1286&h=193&mode=stretch,"Gat No.1200, Pune-Nagar Road, Wagholi, Haveli 
 Pune - 412207 
 Maharashtra ,    India","9604787185  ,    9604787186"
"Dr. D.Y. Patil Vidya Pratishthan Society's, Pune",nothing,Private,6.9,https://images.collegedunia.com/public/college_data/images/appImage/28148_DYPATIL.jpg?w=1286&h=193&mode=stretch,"Sant Tukaram Nagar, Pimpri 
 Pune - 411018 
 Maharashtra ,    India",020-27420229
"D.Y. Patil School of Engineering Academy - [DYPSOEA] Ambi, Pune",Private,Estd 2011,7.1,https://images.collegedunia.com/public/college_data/images/appImage/1492770535cBNA.png?w=1286&h=193&mode=stretch,"D. Y. Patil Technical Campus, Sr. No. 124 & 126, A/p Ambi, MIDC Road, Tal Maval, Talegaon Dabhade 
 Pune - 410506 
 Maharashtra ,    India",02114-306230
"Poona Institute of Management Sciences and Entrepreneurship - [PIMSE], Pune",Private,Estd 1990,8.0,https://images.collegedunia.com/public/college_data/images/appImage/17116_app.jpg?w=1286&h=193&mode=stretch,"Poona College Campus, Hidayatulla Rd, Camp 
 Pune - 411001 
 Maharashtra ,    India",020-26448781
"Alard School of Business Management, Pune",Private,Estd 2007,nothing,https://images.collegedunia.com/public/college_data/images/appImage/15004512781476268934Alardschoolcover.jpg?w=1286&h=193&mode=stretch,"Survey No. 50, Hinjawadi Marunje, Near Rajiv Gandhi IT Park, Hinjewadi 
 Pune - 411057 
 Maharashtra ,    India","020-66523761  ,    Toll Free No. -  8055023232"
"DY Patil Institute of Management Ambi, Pune",Private,Estd 2008,7.9,https://images.collegedunia.com/public/college_data/images/appImage/148499871117540ap.jpg?w=1286&h=193&mode=stretch,"Sr. No-124 & 126 A/p Ambi, MIDC Road,  Talegaon Dabhade, Tal- Maval 
 Pune - 410506 
 Maharashtra ,    India",02114-306233
"MIT School of Management - [MIT-SOM], Pune",Private,Estd 1987,8.3,https://images.collegedunia.com/public/college_data/images/appImage/18395_MITSDE_APP.jpg?w=1286&h=193&mode=stretch,"S.No. 123, Saraswati Vishwa Building, ""A"" Wing, 3rd Floor, MIT Campus, Paud Road, Kothrud 
 Pune - 411038 
 Maharashtra ,    India","020-2544277  ,    30273595"
"Sankalp Business School - [SBS] Vadgaon, Pune",Private,Estd 2008,7.3,https://images.collegedunia.com/public/college_data/images/appImage/18683_1446887868SBS_NEW.jpg?w=1286&h=193&mode=stretch,"S.N. 9/1/1, Ambegaon , Ext. Sinhgad College, Vadgaon 
 Pune - 411041 
 Maharashtra ,    India","020-65006615  ,    24354221"
"Shivneri Institute of Business Management, Pune",Private,Estd 2006,3.0,https://images.collegedunia.com/public/college_data/images/appImage/18765_SSIB_NEW.jpg?w=1286&h=193&mode=stretch,"Tal. Junnar 
 Pune - 412411 
 Maharashtra ,    India",020-25456382
"Sinhgad School of Business Studies - [SSBS] Narhe, Pune",Private Institute,Estd 2010,nothing,https://images.collegedunia.com/public/college_data/images/appImage/18834_sbspune_app.jpg?w=1286&h=193&mode=stretch,"Sr. No. 45/15/1/2, 45/15/2, 45/15/3, Narhe, Tal. Haveli 
 Pune - 411041 
 Maharashtra ,    India","020-66831822  ,    66831821"
"Dr. D.Y. Patil Institute of Management Studies - [DYPIMS] Akurdi, Pune",Private,Estd 2004,8.7,https://images.collegedunia.com/public/college_data/images/appImage/45518_Capture.jpg?w=1286&h=193&mode=stretch,"Sector No. 29, Behind Akurdi Railway Station, Pradhikaran Nigdi, Akurdi  
 Pune - 411044 
 Maharashtra ,    India","020-27659509  ,    27654736  ,    27652794"
"Naralkar Institute of Career Development & Research, Pune",Private,Estd 1986,nothing,https://images.collegedunia.com/public/college_data/images/appImage/55115_1446210081SPM-NEW.jpg?w=1286&h=193&mode=stretch,"536 Shaniwar Peth 
 Pune - 411030 
 Maharashtra ,    India","020-41052105  ,    41052106  ,    41052122  ,    41052103"
"Ajeenkya DY Patil University, School of Management, Pune",Private,Estd 2015,7.9,https://images.collegedunia.com/public/college_data/images/appImage/_app image dy patil.jpg?w=1286&h=193&mode=stretch,"Charoli Bk.via Lohegaon 
 Pune - 412105 
 Maharashtra ,    India",020-67077943
"International Institute of Management & Human Resource Development - [IIMHRD], Pune",Private,Estd 2005,7.9,https://images.collegedunia.com/public/college_data/images/appImage/1494852204saicover.jpg?w=1286&h=193&mode=stretch,"Survey No 54, Nere Dattawadi, Near Hinjewadi IT Park 
 Pune - 411033 
 Maharashtra ,    India","020-66547500  ,    66547550"
"Pillai Institute of Management Studies & Research -[PIMSR], Pune",Private,Estd 1998,6.7,https://images.collegedunia.com/public/college_data/images/appImage/57388_123.jpg?w=1286&h=193&mode=stretch,"Dr. K. M. Vasudevan Pillai Campus, Plot No. 10, Sector 16, New Panvel  
 Pune - 410206 
 Maharashtra ,    India","022-2748 1764  ,    27456030  ,    27451700  ,    27456100"
"Vishwakarma Global Business School - [VGBS], Pune",Private,Estd 2010,8.2,https://images.collegedunia.com/public/college_data/images/appImage/_VGBScover.jpg?w=1286&h=193&mode=stretch,"Survey No. 2, 3, 4 Laxmi Nagar, Kondhwa Budruk, 
 Pune - 411048 
 Maharashtra ,    India",020-64783754
"Zeal Institute of Business Administration, Computer Application and Research - [ZIBACAR], Pune",Private,Estd 2007,7.8,https://images.collegedunia.com/public/college_data/images/appImage/57437_1000.jpg?w=1286&h=193&mode=stretch,"Survey No. 39, Narhegaon, Taluka - Haveli 
 Pune - 411041 
 Maharashtra ,    India","020-67206031  ,    67206033"
"Rajgad Institute Of Management Research & Development - [RIMRD], Pune",Private,Estd 2008,8.2,https://images.collegedunia.com/public/college_data/images/appImage/149130304477.jpg?w=1286&h=193&mode=stretch,"Opp. Dhankawadi Post Office, Satara- Pune Road,
Dhankawadi 
 Pune - 411043 
 Maharashtra ,    India",020-24362334
"SNG Institute of Management & Research, Pune",Private,Estd 2005,nothing,https://images.collegedunia.com/public/college_data/images/appImage/14914564403.jpg?w=1286&h=193&mode=stretch,"A/P Jaidwadi, Rajagurunagar, Tal. Khed 
 Pune - 410505 
 Maharashtra ,    India","02133-272213  ,    272214"
"RMD Sinhgad School of Management Studies - [RMDSSOMS], Pune",Private,Estd 2011,nothing,https://images.collegedunia.com/public/college_data/images/appImage/1491479265campussdas.jpg?w=1286&h=193&mode=stretch,"Survey No. 111/1 Pune-Mumbai Bypass, Highway, Warje 
 Pune - 411058 
 Maharashtra ,    India","+91-020-25218401  ,    25218402  ,    25218403  ,    25218404"
"Adhalrao Patil Institute of Management and Research -
 [APIMR], Pune",Private,Estd 2009,6.0,https://images.collegedunia.com/public/college_data/images/appImage/1491912691ccccccccccccccccccccccccca.png?w=1286&h=193&mode=stretch,"At Post Landewadi(Via Manchar), Tal - Ambegaon 
 Pune - 410503 
 Maharashtra ,    India",02133-235105
"RMD Sinhgad School of Management Studies - [RMDSSOMS] Warje, Pune",Private,Estd 2011,nothing,https://images.collegedunia.com/public/college_data/images/appImage/1493188366ccccccccccccdf.png?w=1286&h=193&mode=stretch,"111/1, Warje, Pune-Mumbai Bypass Highway 
 Pune - 411058 
 Maharashtra ,    India","020-25218401  ,    25218402  ,    25218403  ,    25218404  ,    25218406"
"Raja Shree Shivraya Pratishthan’s Institute of Management and Computer Studies - [IMCS], Pune",Private,Estd 1998,nothing,https://images.collegedunia.com/public/college_data/images/appImage/149327734814932663951492601792cccccccccccccccccccccccccc.png?w=1286&h=193&mode=stretch,"Baburao Sutar Path, Rambaug Colony, Opp. Krishna Hospital, Paud Road, Kothrud 
 Pune - 411038 
 Maharashtra ,    India","020-25444363  ,    25437801"
"Dattakala College of Management, Pune",Private,Estd 2009,nothing,https://images.collegedunia.com/public/college_data/images/appImage/1498642036asdadddd.png?w=1286&h=193&mode=stretch,"At Gate No: 541/2, 527 Off Pune-Solapur Highway, Swami-Chincholi (Bhigwan), Tal-Daund 
 Pune - 413110 
 Maharashtra ,    India","02117-203183  ,    203184"
"G H Raisoni College of Engineering and Management - [GHRCEM], Pune",Private (Autonomous),Estd 1998,6.8,https://images.collegedunia.com/public/college_data/images/appImage/13493_1444974340GHCE1.jpg?w=1286&h=193&mode=stretch,"Navin Gate No.: 1200 Wagholi, Domkhel Road, Haveli 
 Pune - 412207 
 Maharashtra ,    India","Helpline -  7774038666  ,    7774038444"
"Aeronautical Engineering and Research Organization - [AERO], Pune",nothing,"IGNOU, New Delhi",nothing,https://images.collegedunia.com/public/college_data/images/appImage/12739_aero_new.jpg?w=1286&h=193&mode=stretch,"140/6, Near Warje Chowk, NDA Road, Warje Malwadi 
 Pune - 411023 
 Maharashtra ,    India",020-25291473
"Sharadchandra Pawar College of Engineering - [SPCOE] Dumberwadi, Pune",Private,Estd 2009,5.8,https://images.collegedunia.com/public/college_data/images/appImage/15022_SPCOEP_APP.jpg?w=1286&h=193&mode=stretch,"At Dumberwadi (Otur), Tal. Junner 
 Pune - 412409 
 Maharashtra ,    India","9326999711  ,    9850436789"
"Mod-Tech College Of Engineering, Pune",nothing,"KSOU, Mysore",nothing,https://images.collegedunia.com/public/college_data/images/appImage/45352_MTEA_NEW.jpg?w=1286&h=193&mode=stretch,"Office No. 208, Mohite Paradise, Opp Hotel Girija, Above New Poona Bakery, Sinhgad Road 
 Pune - 411051 
 Maharashtra ,    India",020-32315300
"Vidya Prasarini Sabha's College of Engineering & Technology - [VPSCET] Lonavala, Pune",Private,Estd 2013,7.3,https://images.collegedunia.com/public/college_data/images/appImage/1492515519127953794426234892642917203770519972482353n.jpg?w=1286&h=193&mode=stretch,"Gat No. 685, Mauje Waksai, Old Pune Mumbai Highway, Maval 
 Pune - 410405 
 Maharashtra ,    India","02114-246002  ,    246001  ,    246003"
"Dr. D. Y. Patil School of Engineering and Technology - [DYPSOET], Pune",Private,Estd 2011,7.9,https://images.collegedunia.com/public/college_data/images/appImage/1492855129dfcgvhbjnkhuuhuygytft.png?w=1286&h=193&mode=stretch,"Dr D Y Patil Knowledge City, Charholi (Bk), Via Lohgaon, 7 km from Airport 
 Pune - 412105 
 Maharashtra ,    India",020-67077932
"ModTech College of Engineering, Pune",nothing,Estd 1997,nothing,https://images.collegedunia.com/public/college_data/images/appImage/14343_MCE_New.jpg?w=1286&h=193&mode=stretch,"Office No. 208, Mohite Paradise, Opp Hotel Girija, Above New Poona Bakery, Sinhgad Road 
 Pune - 411051 
 Maharashtra ,    India","020-24352270  ,    65003209"
"Vidya Pratishthan's School of Biotechnology - [VSBT] Baramati, Pune",Private,Estd 2003,nothing,https://images.collegedunia.com/public/college_data/images/appImage/17009_VPSOB.jpg?w=1286&h=193&mode=stretch,"Vidyanagari, Bhigwan Road, Baramati 
 Pune - 413133 
 Maharashtra ,    India",02112-239388
"Asian Institute of Management Studies, Pune",nothing,Estd 1968,nothing,https://images.collegedunia.com/public/college_data/images/appImage/17252_AIMS_New.png?w=1286&h=193&mode=stretch,"Survey No 48/7, Narhegav 
 Pune - 411041 
 Maharashtra ,    India",020-24699203
"SVPM's Institute of Management Malegaon, Pune",Private,Estd 1994,nothing,https://images.collegedunia.com/public/college_data/images/appImage/18640_SVPM_NEW.jpg?w=1286&h=193&mode=stretch,"Shivnagr Vidya Prasarak Mandal's Campus, Bunglow No.4, Malegaon (Bk.) 
 Pune - 413115 
 Maharashtra ,    India",02112-254216
"Dr. D. Y. Patil Institute of Technology - [DYPIT] Pimpri, Pune",Private Institute,Estd 1998,7.6,https://images.collegedunia.com/public/college_data/images/appImage/28603_patil_new.jpg?w=1286&h=193&mode=stretch,"Sant Tukaram Nagar, Pimpri 
 Pune - 411018 
 Maharashtra ,    India","020-27421095  ,    27421096"
"MITCOE's Centre for Management Studies and Research - [MITCMSR], Pune",Private,Estd 2000,nothing,https://images.collegedunia.com/public/college_data/images/appImage/45277_CMSR_NEW.jpg?w=1286&h=193&mode=stretch,"MIT Campus S. No. 124, Ex-Serviceman Colony, Paud Road, Kothrud 
 Pune - 411038 
 Maharashtra ,    India",020-30273400
"Pravara Centre for Management Research & Development - [PCMRD], Pune",Private,Estd 1980,7.4,https://images.collegedunia.com/public/college_data/images/appImage/1501051227147566523913.jpg?w=1286&h=193&mode=stretch,"Off Senapati Bapat Road, Near Patrakar Nagar 
 Pune - 411016 
 Maharashtra ,    India","020-25651104  ,    25651499"
"Abhinav Education Society's Institute of Management and Research - [AESIMR], Pune",nothing,"SPPU, Pune",8.0,https://images.collegedunia.com/public/college_data/images/appImage/57336_building.jpg?w=1286&h=193&mode=stretch,"S.No. 23/3/23,Narhe,Off Mumbai-Bangalore Highway 
 Pune - 411041 
 Maharashtra ,    India","MCA -  9766471071  ,    8275272383   ,    9881393959  ,    MBA -  8308410101  ,    Office -  9146028812"
"JSPM’s Kautilya Institute of Management and Research - [KIMR]  Wagholi, Pune",Private,Estd 2006,nothing,https://images.collegedunia.com/public/college_data/images/appImage/1491560719SDFC.jpg?w=1286&h=193&mode=stretch,"Gat No. 720 (1 & 2), Pune – Ahmednagar Road, Wagholi, Tal- Haveli 
 Pune - 412207 
 Maharashtra ,    India","020-65101492  ,    67335100  ,    67335104"
